ubigeo,departamento,provincia,distrito,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO MORADO,PARTIDO NACIONALISTA PERUANO,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDO POPULAR CRISTIANO - PPC,PERU PATRIA SEGURA,PODEMOS PERU,RENACIMIENTO UNIDO NACIONAL,RENOVACION POPULAR,UNION POR EL PERU,VICTORIA NACIONAL
921902,AMERICA,MEXICO,CIUDAD DE MEXICO,82,9,196,1,1,73,140,3,40,10,20,20,1,15,2,182,0,31
921903,AMERICA,MEXICO,MONTERREY,25,1,56,0,0,29,20,1,5,1,3,9,0,3,0,61,0,15
922001,AMERICA,NICARAGUA,MANAGUA,4,0,13,0,0,8,9,0,3,1,0,0,0,0,0,15,0,1
922101,AMERICA,PANAMA,PANAMA,47,15,152,1,3,148,58,13,34,7,43,19,10,25,2,246,10,58
922102,AMERICA,PANAMA,DAVID,3,0,5,0,1,7,1,1,1,1,2,0,0,0,0,8,0,0
922103,AMERICA,PANAMA,COLON,2,1,0,0,0,0,4,0,1,1,0,1,0,0,0,1,0,1
922108,AMERICA,PANAMA,VERAGUAS,0,0,1,0,0,4,2,0,1,0,1,0,0,0,0,2,0,0
922303,AMERICA,PUERTO RICO,SAN JUAN,20,0,46,1,2,17,23,1,9,1,7,13,0,0,0,39,1,9
922401,AMERICA,REPUBLICA DOMINICANA,SANTO DOMINGO,30,2,73,1,3,60,41,8,15,4,24,7,4,2,1,91,2,18
922403,AMERICA,REPUBLICA DOMINICANA,SANTIAGO DE LOS CABALLEROS,4,0,13,0,0,13,9,2,2,1,6,1,2,0,0,15,2,7
922601,AMERICA,TRINIDAD TOBAGO,PUERTO ESPA¿¿A,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,3,0,1
922701,AMERICA,URUGUAY,MONTEVIDEO,34,15,62,1,7,48,68,8,19,7,49,14,4,8,3,69,3,25
923001,AMERICA,GUAYANA FRANCESA,CAYENA,8,9,14,4,0,38,18,0,1,6,9,2,3,5,5,43,0,28
930101,ASIA,REPUBLICA DE COREA DEL SUR,SEUL,5,0,16,0,1,6,15,0,1,0,2,5,0,1,0,20,0,7
930201,ASIA,REPUBLICA POPULAR CHINA,BEIJING (PEKIN),0,0,3,0,0,2,3,0,1,0,0,0,0,0,0,4,0,1
930206,ASIA,REPUBLICA POPULAR CHINA,SHANGHAI,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0
930226,ASIA,REPUBLICA POPULAR CHINA,HONG KONG,4,0,14,0,0,7,6,0,8,1,2,3,1,2,0,8,1,2
930232,ASIA,REPUBLICA POPULAR CHINA,GUANGZHOU,3,0,8,0,0,6,2,1,6,0,0,0,1,2,0,1,0,0
930402,ASIA,INDIA,NUEVA DELHI,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
930602,ASIA,ISRAEL,TEL AVIV,16,2,29,1,0,16,12,3,3,0,3,4,0,2,0,33,1,7
930703,ASIA,JAPON,TOKIO,20,9,128,0,2,332,59,6,30,3,8,17,5,11,1,398,1,38
930704,ASIA,JAPON,OKINAWA,0,0,9,0,0,19,0,0,0,2,0,0,1,0,0,7,0,1
930705,ASIA,JAPON,FUKUOKA,1,1,7,0,1,15,3,1,2,0,0,0,0,1,0,14,0,0
930709,ASIA,JAPON,HIROSHIMA,3,1,19,0,0,35,7,0,1,0,0,0,0,0,0,46,0,5
930713,ASIA,JAPON,NAGOYA,25,8,84,0,1,349,36,5,11,1,23,17,1,12,1,264,3,33
930720,ASIA,JAPON,SAITAMA,8,3,62,1,1,188,16,2,6,0,1,14,0,4,0,131,1,21
930721,ASIA,JAPON,GUNMA,28,6,116,0,0,424,42,5,19,4,7,19,3,10,1,348,0,31
930726,ASIA,JAPON,SHIZUOKA,12,9,63,0,1,219,25,3,10,2,2,13,4,8,3,143,0,26
930727,ASIA,JAPON,MIE,8,4,49,0,2,169,17,1,6,4,4,8,3,10,1,159,0,18
930736,ASIA,JAPON,SHIGA,5,2,37,0,0,127,9,2,5,0,0,7,1,2,2,79,0,9
930752,ASIA,JAPON,KOBE,5,0,42,0,1,128,24,3,3,3,4,6,1,4,2,103,1,7
931001,ASIA,TAILANDIA,BANGKOK,1,0,5,0,0,0,3,0,3,1,0,0,0,0,0,4,0,0
931101,ASIA,INDONESIA,JAKARTA,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
931302,ASIA,JORDANIA,AMMAN,5,0,0,0,0,1,1,0,0,3,0,0,0,0,0,3,0,0
931501,ASIA,TURQUIA,ESTAMBUL,1,0,4,0,0,1,4,0,0,0,0,1,0,0,0,4,0,1
931503,ASIA,TURQUIA,ANKARA,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
932002,ASIA,VIETNAM,HANOI,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
932401,ASIA,IRAN,TEHERAN,6,0,7,0,0,4,0,0,1,0,0,1,0,0,0,7,0,0
932501,ASIA,SINGAPUR,SINGAPUR,0,0,13,0,0,0,2,0,4,1,0,1,0,0,0,7,0,2
933001,ASIA,MALASIA,KUALA LUMPUR,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
933201,ASIA,FILIPINAS,MANILA,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2
933701,ASIA,EMIRATOS ARABES UNIDOS,DUBAI,0,0,9,0,0,1,8,0,2,0,0,0,0,0,0,4,0,2
933801,ASIA,QATAR,DOHA,0,0,6,0,0,0,3,0,1,0,0,0,0,0,0,10,0,1
940201,EUROPA,ALEMANIA,BERLIN,25,1,74,2,2,14,197,4,30,0,14,16,2,5,0,72,2,22
940203,EUROPA,ALEMANIA,BREMEN,6,0,15,0,1,3,24,2,8,0,0,1,0,0,0,22,1,7
940205,EUROPA,ALEMANIA,FRANKFURT,21,3,87,0,2,19,99,3,36,0,5,10,4,2,1,65,0,14
940206,EUROPA,ALEMANIA,HAMBURGO,9,1,52,0,0,16,81,3,30,4,5,13,0,0,1,60,0,12
940213,EUROPA,ALEMANIA,COLONIA,16,1,44,0,1,10,91,3,29,2,1,7,1,1,2,46,2,10
940245,EUROPA,ALEMANIA,MUNICH,27,3,125,0,1,36,168,12,59,3,15,17,8,10,7,120,0,58
940302,EUROPA,AUSTRIA,VIENA,18,4,47,1,1,15,64,0,19,1,7,6,3,0,2,46,0,11
