ambito,region,provincia,distrito,total_actas,actas_contabilizadas,pct_actas,fuente_proporcion,votos_AHORA NACIÓN - AN,votos_ALIANZA ELECTORAL VENCEREMOS,votos_ALIANZA PARA EL PROGRESO,votos_AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,votos_FE EN EL PERÚ,votos_FUERZA POPULAR,votos_FUERZA Y LIBERTAD,votos_JUNTOS POR EL PERÚ,votos_LIBERTAD POPULAR,votos_PARTIDO APRISTA PERUANO,votos_PARTIDO CÍVICO OBRAS,votos_PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,votos_PARTIDO DEL BUEN GOBIERNO,votos_PARTIDO DEMOCRATICO FEDERAL,votos_PARTIDO DEMOCRÁTICO SOMOS PERÚ,votos_PARTIDO DEMÓCRATA UNIDO PERÚ,votos_PARTIDO DEMÓCRATA VERDE,votos_PARTIDO FRENTE DE LA ESPERANZA 2021,votos_PARTIDO MORADO,votos_PARTIDO PATRIÓTICO DEL PERÚ,votos_PARTIDO PAÍS PARA TODOS,votos_PARTIDO POLÍTICO COOPERACIÓN POPULAR,votos_PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,votos_PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,votos_PARTIDO POLÍTICO PERÚ ACCIÓN,votos_PARTIDO POLÍTICO PERÚ PRIMERO,votos_PARTIDO POLÍTICO PRIN,votos_PARTIDO SICREO,votos_PERÚ MODERNO,votos_PODEMOS PERÚ,"votos_PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",votos_PROGRESEMOS,votos_RENOVACIÓN POPULAR,votos_SALVEMOS AL PERÚ,votos_UN CAMINO DIFERENTE,votos_UNIDAD NACIONAL,votos_VOTOS EN BLANCO,votos_VOTOS NULOS
PERÚ,PUNO,LAMPA,SANTA LUCÍA,21,16,76.19,distrito,340,323,26,1,12,161,10,1054,3,5,672,1,123,7,10,76,22,176,4,34,47,425,1,41,12,35,1,156,1,45,25,16,51,3,1,0,497,280
PERÚ,PUNO,LAMPA,VILAVILA,4,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,ANTAUTA,21,3,14.29,region,429,193,21,3,6,146,5,895,4,8,652,3,159,6,13,61,19,175,12,33,64,420,4,30,7,24,4,118,1,34,59,18,76,4,5,5,437,227
PERÚ,PUNO,MELGAR,AYAVIRI,65,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,CUPI,7,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,LLALLI,9,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,MACARI,22,4,18.18,region,342,153,17,3,5,116,4,712,4,6,519,2,127,5,10,49,15,140,9,27,51,334,3,24,5,19,3,94,1,27,47,14,61,3,4,4,347,180
PERÚ,PUNO,MELGAR,NUÑOA,26,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,ORURILLO,23,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MELGAR,SANTA ROSA,18,3,16.67,region,348,156,17,3,5,118,4,725,4,6,528,3,129,5,11,50,16,142,10,27,52,340,4,24,5,20,3,96,1,28,48,14,62,3,4,4,354,184
PERÚ,PUNO,MELGAR,UMACHIRI,11,0,0.0,region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,MOHO,CONIMA,14,10,71.43,distrito,225,120,6,3,7,63,1,510,1,1,378,1,50,8,10,42,17,59,0,24,31,150,0,20,4,7,3,46,1,20,10,6,14,4,0,3,372,217
PERÚ,PUNO,MOHO,HUAYRAPATA,12,8,66.67,distrito,128,94,9,3,3,42,2,831,2,2,322,0,15,2,15,22,20,72,2,10,14,114,2,24,8,16,4,34,0,18,16,9,4,14,0,0,255,156
PERÚ,PUNO,MOHO,MOHO,50,47,94.0,distrito,638,631,31,15,19,166,4,2677,12,11,1081,10,122,14,28,159,45,227,22,94,96,607,10,118,17,32,6,93,5,81,37,48,50,19,13,5,1580,665
PERÚ,PUNO,MOHO,TILALI,10,10,100.0,distrito,175.0,112.0,5.0,1.0,7.0,40.0,3.0,497.0,9.0,0.0,336.0,3.0,28.0,3.0,3.0,26.0,10.0,58.0,8.0,8.0,21.0,135.0,0.0,16.0,3.0,11.0,1.0,42.0,0.0,12.0,9.0,3.0,11.0,5.0,0.0,4.0,242.0,77.0
PERÚ,PUNO,PUNO,ACORA,66,51,77.27,distrito,890,575,85,12,32,283,47,4197,16,63,1381,14,228,23,52,274,83,261,22,113,141,1823,12,137,21,56,27,206,10,189,100,75,110,22,14,16,1930,898
PERÚ,PUNO,PUNO,AMANTANI,15,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,PUNO,ATUNCOLLA,15,9,60.0,distrito,215,557,27,5,5,118,2,753,0,8,607,3,73,2,3,35,7,103,7,35,48,368,3,12,0,18,2,85,0,10,22,8,20,2,2,5,413,212
PERÚ,PUNO,PUNO,CAPACHICA,31,29,93.55,distrito,465,911,37,2,15,182,13,1252,15,18,881,1,128,6,20,112,56,265,16,62,79,881,4,52,12,26,9,100,3,44,61,35,28,15,10,10,871,536
PERÚ,PUNO,PUNO,CHUCUITO,27,24,88.89,distrito,440,161,26,4,12,164,4,1148,4,12,568,3,144,9,24,74,30,166,12,48,80,936,2,64,15,12,10,111,1,45,65,27,76,8,12,8,651,362
PERÚ,PUNO,PUNO,COATA,25,23,92.0,distrito,374,835,21,1,8,80,7,1451,3,5,907,2,64,2,8,92,52,186,7,41,27,328,2,20,7,18,1,87,1,41,32,42,54,3,2,3,452,304
PERÚ,PUNO,PUNO,HUATA,11,11,100.0,distrito,226.0,329.0,23.0,0.0,1.0,82.0,4.0,471.0,1.0,4.0,379.0,1.0,46.0,3.0,6.0,57.0,12.0,102.0,11.0,14.0,27.0,258.0,2.0,21.0,3.0,11.0,0.0,65.0,1.0,16.0,38.0,10.0,23.0,1.0,8.0,3.0,238.0,195.0
PERÚ,PUNO,PUNO,MAÑAZO,16,16,100.0,distrito,325.0,309.0,16.0,3.0,8.0,84.0,2.0,648.0,6.0,5.0,493.0,1.0,98.0,1.0,15.0,64.0,13.0,123.0,16.0,27.0,37.0,531.0,1.0,25.0,3.0,21.0,3.0,80.0,0.0,28.0,43.0,14.0,43.0,3.0,8.0,3.0,391.0,231.0
PERÚ,PUNO,PUNO,PAUCARCOLLA,17,17,100.0,distrito,332.0,267.0,31.0,3.0,6.0,128.0,3.0,733.0,4.0,8.0,411.0,4.0,80.0,2.0,19.0,32.0,23.0,137.0,2.0,28.0,62.0,630.0,3.0,43.0,8.0,15.0,5.0,110.0,2.0,35.0,28.0,14.0,33.0,5.0,5.0,6.0,491.0,201.0
PERÚ,PUNO,PUNO,PICHACANI,19,16,84.21,distrito,245,148,26,1,14,82,12,823,7,10,482,5,112,12,18,78,26,107,13,30,33,800,4,142,8,27,2,74,1,42,36,14,28,6,6,6,457,211
PERÚ,PUNO,PUNO,PLATERIA,24,22,91.67,distrito,384,149,27,5,5,137,11,1495,7,10,519,7,81,15,8,80,29,156,16,47,43,972,4,46,14,16,9,80,3,38,29,15,32,13,12,5,580,311
PERÚ,PUNO,PUNO,PUNO,350,303,86.57,distrito,13166,913,351,54,68,3732,85,6514,92,270,8291,49,6913,103,409,626,409,3570,338,646,2187,15449,132,478,125,383,79,3559,37,338,2370,319,3395,33,99,211,5639,3145
PERÚ,PUNO,PUNO,SAN ANTONIO,4,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,PUNO,TIQUILLACA,9,8,88.89,distrito,225,150,15,0,6,88,0,325,3,3,192,4,51,6,7,15,17,47,8,15,44,448,1,18,2,9,2,46,1,16,15,4,27,2,0,8,251,112
PERÚ,PUNO,PUNO,VILQUE,10,9,90.0,distrito,226,202,11,2,2,68,4,460,0,2,356,4,33,4,8,48,8,73,3,20,26,312,1,9,0,42,1,60,0,27,18,12,21,2,0,3,222,76
PERÚ,PUNO,SAN ANTONIO DE PUTINA,ANANEA,16,15,93.75,distrito,290,84,9,4,10,95,1,853,1,9,605,0,123,3,11,59,7,143,4,37,30,353,1,58,1,21,1,101,1,26,31,22,35,4,3,3,281,183
PERÚ,PUNO,SAN ANTONIO DE PUTINA,PEDRO VILCA APAZA,7,7,100.0,distrito,74.0,85.0,5.0,0.0,7.0,20.0,0.0,521.0,2.0,1.0,327.0,1.0,16.0,5.0,4.0,20.0,5.0,33.0,2.0,10.0,10.0,77.0,1.0,8.0,4.0,5.0,3.0,7.0,0.0,10.0,7.0,11.0,10.0,0.0,0.0,1.0,154.0,95.0
PERÚ,PUNO,SAN ANTONIO DE PUTINA,PUTINA,44,43,97.73,distrito,629,342,40,5,16,219,6,2961,3,7,2294,2,249,7,24,171,37,379,10,67,61,903,3,55,12,27,8,246,3,85,83,27,69,8,5,3,878,521
PERÚ,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,15,15,100.0,distrito,124.0,65.0,15.0,0.0,4.0,66.0,1.0,1182.0,3.0,2.0,676.0,4.0,43.0,6.0,15.0,62.0,9.0,106.0,4.0,15.0,19.0,286.0,2.0,35.0,2.0,12.0,2.0,47.0,1.0,33.0,13.0,10.0,22.0,5.0,1.0,1.0,354.0,268.0
PERÚ,PUNO,SAN ANTONIO DE PUTINA,SINA,5,5,100.0,distrito,65.0,15.0,3.0,0.0,1.0,32.0,1.0,461.0,2.0,2.0,136.0,1.0,10.0,0.0,1.0,17.0,2.0,41.0,2.0,5.0,10.0,40.0,0.0,6.0,4.0,3.0,1.0,19.0,0.0,18.0,9.0,3.0,17.0,1.0,0.0,1.0,123.0,77.0
PERÚ,PUNO,SAN ROMÁN,CABANA,17,17,100.0,distrito,384.0,536.0,19.0,2.0,2.0,112.0,3.0,578.0,4.0,4.0,524.0,0.0,96.0,0.0,7.0,71.0,15.0,136.0,11.0,37.0,30.0,311.0,0.0,18.0,1.0,30.0,4.0,80.0,1.0,33.0,29.0,15.0,35.0,3.0,1.0,1.0,344.0,142.0
PERÚ,PUNO,SAN ROMÁN,CABANILLAS,14,14,100.0,distrito,435.0,311.0,14.0,4.0,0.0,112.0,2.0,442.0,3.0,6.0,537.0,1.0,125.0,2.0,8.0,40.0,6.0,119.0,6.0,13.0,25.0,253.0,4.0,20.0,7.0,33.0,2.0,77.0,0.0,27.0,29.0,10.0,49.0,3.0,3.0,3.0,304.0,171.0
PERÚ,PUNO,SAN ROMÁN,CARACOTO,39,39,100.0,distrito,795.0,999.0,61.0,11.0,9.0,353.0,13.0,1958.0,11.0,15.0,1459.0,5.0,219.0,10.0,24.0,144.0,50.0,494.0,21.0,79.0,139.0,754.0,9.0,75.0,10.0,55.0,8.0,172.0,1.0,76.0,77.0,44.0,101.0,7.0,18.0,9.0,1042.0,504.0
PERÚ,PUNO,SAN ROMÁN,JULIACA,598,528,88.29,distrito,20867,4638,868,133,126,7703,213,16224,146,289,25304,110,8516,271,382,1351,454,9341,633,1272,3615,11427,227,760,217,1238,111,6218,53,979,3176,524,4612,80,234,210,10605,5443
PERÚ,PUNO,SAN ROMÁN,SAN MIGUEL,110,109,99.09,distrito,3061,1259,121,13,29,920,19,5123,20,17,5462,28,984,37,59,480,113,1894,90,285,527,2308,31,163,49,232,9,944,6,184,452,115,351,21,40,25,2403,1199
PERÚ,PUNO,SANDIA,ALTO INAMBARI,22,7,31.82,distrito,207,132,0,3,9,154,3,1559,3,3,462,0,35,9,3,72,13,47,6,25,6,141,0,28,3,19,0,44,0,38,6,19,22,6,6,3,541,286
PERÚ,PUNO,SANDIA,CUYOCUYO,18,11,61.11,distrito,195,65,11,2,8,59,3,1186,5,3,710,3,47,0,3,46,26,116,8,13,7,353,5,43,3,7,0,28,0,23,16,5,21,5,0,2,263,216
PERÚ,PUNO,SANDIA,LIMBANI,12,0,0.0,provincia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERÚ,PUNO,SANDIA,PATAMBUCO,15,15,100.0,distrito,146.0,41.0,11.0,4.0,4.0,86.0,3.0,690.0,2.0,4.0,552.0,1.0,55.0,4.0,5.0,28.0,10.0,57.0,5.0,22.0,16.0,189.0,1.0,26.0,5.0,71.0,1.0,37.0,0.0,27.0,13.0,7.0,16.0,3.0,2.0,0.0,410.0,187.0
PERÚ,PUNO,SANDIA,PHARA,19,10,52.63,distrito,236,47,15,0,2,325,6,1188,13,2,1117,6,95,13,11,28,23,141,4,17,34,243,6,42,2,15,2,80,2,47,32,15,21,2,0,9,551,203
PERÚ,PUNO,SANDIA,QUIACA,8,8,100.0,distrito,83.0,32.0,6.0,1.0,7.0,36.0,2.0,569.0,1.0,1.0,207.0,2.0,39.0,4.0,2.0,22.0,10.0,43.0,2.0,10.0,10.0,90.0,0.0,13.0,3.0,8.0,1.0,36.0,0.0,21.0,9.0,6.0,12.0,2.0,1.0,5.0,205.0,109.0
PERÚ,PUNO,SANDIA,SAN JUAN DEL ORO,13,12,92.31,distrito,162,128,3,1,3,103,3,600,3,2,378,2,39,4,13,30,14,38,1,9,12,185,0,14,9,15,2,17,0,11,6,8,14,1,1,0,254,112
PERÚ,PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,24,15,62.5,distrito,181,360,14,0,6,144,3,1277,0,3,666,5,38,3,11,45,30,85,2,26,21,288,2,42,5,10,5,24,2,40,11,13,11,0,3,10,576,163
PERÚ,PUNO,SANDIA,SANDIA,32,21,65.62,distrito,515,136,23,17,17,297,3,1454,9,12,1065,5,172,14,6,67,35,125,18,43,37,280,6,53,6,29,6,175,3,69,62,34,53,6,8,8,978,463
